x_mm,y_mm,temperature_c
-986.370552,463.629448,20.000000
-961.370552,463.629448,20.000000
-936.370552,463.629448,20.000000
-911.370552,463.629448,20.000000
-886.370552,463.629448,20.000000
-861.370552,463.629448,20.000000
-836.370552,463.629448,20.000000
-811.370552,463.629448,20.000000
-786.370552,463.629448,20.000000
-761.370552,463.629448,20.000000
-736.370552,463.629448,20.000000
-711.370552,463.629448,20.000000
-686.370552,463.629448,20.000000
-661.370552,463.629448,20.000000
-636.370552,463.629448,20.000000
-611.370552,463.629448,20.000000
-586.370552,463.629448,20.000000
-561.370552,463.629448,20.000000
-536.370552,463.629448,20.000000
-511.370552,463.629448,20.000000
-486.370552,463.629448,20.000000
-461.370552,463.629448,20.000000
-436.370552,463.629448,20.000000
-411.370552,463.629448,20.000000
-386.370552,463.629448,20.000000
-361.370552,463.629448,20.000000
-336.370552,463.629448,20.000000
-311.370552,463.629448,20.000000
-286.370552,463.629448,20.000000
-263.475460,463.629448,20.000000
-261.370552,463.629448,20.000000
-244.396217,463.629448,20.000000
-236.370552,463.629448,20.000000
-228.496847,463.629448,20.000000
-215.247373,463.629448,20.000000
-211.370552,463.629448,20.000000
-204.206144,463.629448,20.000000
-195.005120,463.629448,20.000000
-187.337600,463.629448,20.000000
-186.370552,463.629448,20.000000
-180.948000,463.629448,20.000000
-175.623333,463.629448,20.000000
-171.186111,463.629448,20.000000
-167.488426,463.629448,20.000000
-164.407022,463.629448,20.000000
-161.839185,463.629448,20.000000
-161.370552,463.629448,20.000000
-159.699321,463.629448,20.000000
-157.916100,463.629448,20.000000
-156.430084,463.629448,20.000000
-155.191736,463.629448,20.000000
-154.159780,463.629448,20.000000
-153.299817,463.629448,20.000000
-152.583181,463.629448,20.000000
-151.985984,463.629448,20.000000
-151.488320,463.629448,20.000000
-151.073600,463.629448,20.000000
-150.728000,463.629448,20.000000
-150.440000,463.629448,20.000000
-150.200000,463.629448,20.000000
-150.000000,463.629448,20.000000
-149.800000,463.629448,20.000000
-149.560000,463.629448,20.000000
-149.272000,463.629448,20.000000
-148.926400,463.629448,20.000000
-148.511680,463.629448,20.000000
-148.014016,463.629448,20.000000
-147.416819,463.629448,20.000000
-146.700183,463.629448,20.000000
-145.840220,463.629448,20.000000
-144.808264,463.629448,20.000000
-143.569916,463.629448,20.000000
-142.083900,463.629448,20.000000
-140.300679,463.629448,20.000000
-138.160815,463.629448,20.000000
-136.370552,463.629448,20.000000
-135.592978,463.629448,20.000000
-132.511574,463.629448,20.000000
-128.813889,463.629448,20.000000
-124.376667,463.629448,20.000000
-119.052000,463.629448,20.000000
-113.475460,463.629448,20.000000
-112.662400,463.629448,20.000000
-111.370552,463.629448,20.000000
-104.994880,463.629448,20.000000
-95.793856,463.629448,20.000000
-94.396217,463.629448,20.000000
-86.370552,463.629448,20.000000
-84.752627,463.629448,20.000000
-78.496847,463.629448,20.000000
-71.503153,463.629448,20.000000
-65.247373,463.629448,20.000000
-61.370552,463.629448,20.000000
-55.603783,463.629448,20.000000
-54.206144,463.629448,20.000000
-45.005120,463.629448,20.000000
-37.337600,463.629448,20.000000
-36.524540,463.629448,20.000000
-36.370552,463.629448,20.000000
-30.948000,463.629448,20.000000
-25.623333,463.629448,20.000000
-21.186111,463.629448,20.000000
-17.488426,463.629448,20.000000
-14.407022,463.629448,20.000000
-13.629448,463.629448,20.000000
-11.839185,463.629448,20.000000
-11.370552,463.629448,20.000000
-9.699321,463.629448,20.000000
-7.916100,463.629448,20.000000
-6.430084,463.629448,20.000000
-5.191736,463.629448,20.000000
-4.159780,463.629448,20.000000
-3.299817,463.629448,20.000000
-2.583181,463.629448,20.000000
-1.985984,463.629448,20.000000
-1.488320,463.629448,20.000000
-1.073600,463.629448,20.000000
-0.728000,463.629448,20.000000
-0.440000,463.629448,20.000000
-0.200000,463.629448,20.000000
0.000000,463.629448,20.000000
0.200000,463.629448,20.000000
0.440000,463.629448,20.000000
0.728000,463.629448,20.000000
1.073600,463.629448,20.000000
1.488320,463.629448,20.000000
1.985984,463.629448,20.000000
2.583181,463.629448,20.000000
3.299817,463.629448,20.000000
4.159780,463.629448,20.000000
5.191736,463.629448,20.000000
6.430084,463.629448,20.000000
7.916100,463.629448,20.000000
9.699321,463.629448,20.000000
11.370552,463.629448,20.000000
11.839185,463.629448,20.000000
13.629448,463.629448,20.000000
14.407022,463.629448,20.000000
17.488426,463.629448,20.000000
21.186111,463.629448,20.000000
25.623333,463.629448,20.000000
30.948000,463.629448,20.000000
36.370552,463.629448,20.000000
36.524540,463.629448,20.000000
37.337600,463.629448,20.000000
45.005120,463.629448,20.000000
54.206144,463.629448,20.000000
55.603783,463.629448,20.000000
61.370552,463.629448,20.000000
65.247373,463.629448,20.000000
71.503153,463.629448,20.000000
78.496847,463.629448,20.000000
84.752627,463.629448,20.000000
86.370552,463.629448,20.000000
94.396217,463.629448,20.000000
95.793856,463.629448,20.000000
104.994880,463.629448,20.000000
111.370552,463.629448,20.000000
112.662400,463.629448,20.000000
113.475460,463.629448,20.000000
119.052000,463.629448,20.000000
124.376667,463.629448,20.000000
128.813889,463.629448,20.000000
132.511574,463.629448,20.000000
135.592978,463.629448,20.000000
136.370552,463.629448,20.000000
138.160815,463.629448,20.000000
140.300679,463.629448,20.000000
142.083900,463.629448,20.000000
143.569916,463.629448,20.000000
144.808264,463.629448,20.000000
145.840220,463.629448,20.000000
146.700183,463.629448,20.000000
147.416819,463.629448,20.000000
148.014016,463.629448,20.000000
148.511680,463.629448,20.000000
148.926400,463.629448,20.000000
149.272000,463.629448,20.000000
149.560000,463.629448,20.000000
149.800000,463.629448,20.000000
150.000000,463.629448,20.000000
150.200000,463.629448,20.000000
150.440000,463.629448,20.000000
150.728000,463.629448,20.000000
151.073600,463.629448,20.000000
151.488320,463.629448,20.000000
151.985984,463.629448,20.000000
152.583181,463.629448,20.000000
153.299817,463.629448,20.000000
154.159780,463.629448,20.000000
155.191736,463.629448,20.000000
156.430084,463.629448,20.000000
157.916100,463.629448,20.000000
159.699321,463.629448,20.000000
161.370552,463.629448,20.000000
161.839185,463.629448,20.000000
164.407022,463.629448,20.000000
167.488426,463.629448,20.000000
171.186111,463.629448,20.000000
175.623333,463.629448,20.000000
180.948000,463.629448,20.000000
186.370552,463.629448,20.000000
187.337600,463.629448,20.000000
195.005120,463.629448,20.000000
204.206144,463.629448,20.000000
211.370552,463.629448,20.000000
215.247373,463.629448,20.000000
228.496847,463.629448,20.000000
236.370552,463.629448,20.000000
244.396217,463.629448,20.000000
261.370552,463.629448,20.000000
263.475460,463.629448,20.000000
286.370552,463.629448,20.000000
311.370552,463.629448,20.000000
336.370552,463.629448,20.000000
361.370552,463.629448,20.000000
386.370552,463.629448,20.000000
411.370552,463.629448,20.000000
436.370552,463.629448,20.000000
461.370552,463.629448,20.000000
486.370552,463.629448,20.000000
511.370552,463.629448,20.000000
536.370552,463.629448,20.000000
561.370552,463.629448,20.000000
586.370552,463.629448,20.000000
611.370552,463.629448,20.000000
636.370552,463.629448,20.000000
661.370552,463.629448,20.000000
686.370552,463.629448,20.000000
711.370552,463.629448,20.000000
736.370552,463.629448,20.000000
761.370552,463.629448,20.000000
786.370552,463.629448,20.000000
811.370552,463.629448,20.000000
836.370552,463.629448,20.000000
861.370552,463.629448,20.000000
886.370552,463.629448,20.000000
911.370552,463.629448,20.000000
936.370552,463.629448,20.000000
961.370552,463.629448,20.000000
986.370552,463.629448,20.000000
1011.370552,463.629448,20.000000
1036.370552,463.629448,20.000000
1061.370552,463.629448,20.000000
1086.370552,463.629448,20.000000
1100.000000,463.629448,20.000000
-1100.000000,486.524540,20.000000
-1086.370552,486.524540,20.000000
-1061.370552,486.524540,20.000000
-1036.370552,486.524540,20.000000
-1011.370552,486.524540,20.000000
-986.370552,486.524540,20.000000
-961.370552,486.524540,20.000000
-936.370552,486.524540,20.000000
-911.370552,486.524540,20.000000
-886.370552,486.524540,20.000000
-861.370552,486.524540,20.000000
-836.370552,486.524540,20.000000
-811.370552,486.524540,20.000000
-786.370552,486.524540,20.000000
-761.370552,486.524540,20.000000
-736.370552,486.524540,20.000000
-711.370552,486.524540,20.000000
-686.370552,486.524540,20.000000
-661.370552,486.524540,20.000000
-636.370552,486.524540,20.000000
-611.370552,486.524540,20.000000
-586.370552,486.524540,20.000000
-561.370552,486.524540,20.000000
-536.370552,486.524540,20.000000
-511.370552,486.524540,20.000000
-486.370552,486.524540,20.000000
-461.370552,486.524540,20.000000
-436.370552,486.524540,20.000000
-411.370552,486.524540,20.000000
-386.370552,486.524540,20.000000
-361.370552,486.524540,20.000000
-336.370552,486.524540,20.000000
-311.370552,486.524540,20.000000
-286.370552,486.524540,20.000000
-263.475460,486.524540,20.000000
-261.370552,486.524540,20.000000
-244.396217,486.524540,20.000000
-236.370552,486.524540,20.000000
-228.496847,486.524540,20.000000
-215.247373,486.524540,20.000000
-211.370552,486.524540,20.000000
-204.206144,486.524540,20.000000
-195.005120,486.524540,20.000000
-187.337600,486.524540,20.000000
-186.370552,486.524540,20.000000
-180.948000,486.524540,20.000000
-175.623333,486.524540,20.000000
-171.186111,486.524540,20.000000
-167.488426,486.524540,20.000000
-164.407022,486.524540,20.000000
-161.839185,486.524540,20.000000
-161.370552,486.524540,20.000000
-159.699321,486.524540,20.000000
-157.916100,486.524540,20.000000
-156.430084,486.524540,20.000000
-155.191736,486.524540,20.000000
-154.159780,486.524540,20.000000
-153.299817,486.524540,20.000000
-152.583181,486.524540,20.000000
-151.985984,486.524540,20.000000
-151.488320,486.524540,20.000000
-151.073600,486.524540,20.000000
-150.728000,486.524540,20.000000
-150.440000,486.524540,20.000000
-150.200000,486.524540,20.000000
-150.000000,486.524540,20.000000
-149.800000,486.524540,20.000000
-149.560000,486.524540,20.000000
-149.272000,486.524540,20.000000
-148.926400,486.524540,20.000000
-148.511680,486.524540,20.000000
-148.014016,486.524540,20.000000
-147.416819,486.524540,20.000000
-146.700183,486.524540,20.000000
-145.840220,486.524540,20.000000
-144.808264,486.524540,20.000000
-143.569916,486.524540,20.000000
-142.083900,486.524540,20.000000
-140.300679,486.524540,20.000000
-138.160815,486.524540,20.000000
-136.370552,486.524540,20.000000
-135.592978,486.524540,20.000000
-132.511574,486.524540,20.000000
-128.813889,486.524540,20.000000
-124.376667,486.524540,20.000000
-119.052000,486.524540,20.000000
-113.475460,486.524540,20.000000
-112.662400,486.524540,20.000000
-111.370552,486.524540,20.000000
-104.994880,486.524540,20.000000
-95.793856,486.524540,20.000000
-94.396217,486.524540,20.000000
-86.370552,486.524540,20.000000
-84.752627,486.524540,20.000000
-78.496847,486.524540,20.000000
-71.503153,486.524540,20.000000
-65.247373,486.524540,20.000000
-61.370552,486.524540,20.000000
-55.603783,486.524540,20.000000
-54.206144,486.524540,20.000000
-45.005120,486.524540,20.000000
-37.337600,486.524540,20.000000
-36.524540,486.524540,20.000000
-36.370552,486.524540,20.000000
-30.948000,486.524540,20.000000
-25.623333,486.524540,20.000000
-21.186111,486.524540,20.000000
-17.488426,486.524540,20.000000
-14.407022,486.524540,20.000000
-13.629448,486.524540,20.000000
-11.839185,486.524540,20.000000
-11.370552,486.524540,20.000000
-9.699321,486.524540,20.000000
-7.916100,486.524540,20.000000
-6.430084,486.524540,20.000000
-5.191736,486.524540,20.000000
-4.159780,486.524540,20.000000
-3.299817,486.524540,20.000000
-2.583181,486.524540,20.000000
-1.985984,486.524540,20.000000
-1.488320,486.524540,20.000000
-1.073600,486.524540,20.000000
-0.728000,486.524540,20.000000
-0.440000,486.524540,20.000000
-0.200000,486.524540,20.000000
0.000000,486.524540,20.000000
0.200000,486.524540,20.000000
0.440000,486.524540,20.000000
0.728000,486.524540,20.000000
1.073600,486.524540,20.000000
1.488320,486.524540,20.000000
1.985984,486.524540,20.000000
2.583181,486.524540,20.000000
3.299817,486.524540,20.000000
4.159780,486.524540,20.000000
5.191736,486.524540,20.000000
6.430084,486.524540,20.000000
7.916100,486.524540,20.000000
9.699321,486.524540,20.000000
11.370552,486.524540,20.000000
11.839185,486.524540,20.000000
13.629448,486.524540,20.000000
14.407022,486.524540,20.000000
17.488426,486.524540,20.000000
21.186111,486.524540,20.000000
25.623333,486.524540,20.000000
30.948000,486.524540,20.000000
36.370552,486.524540,20.000000
36.524540,486.524540,20.000000
37.337600,486.524540,20.000000
45.005120,486.524540,20.000000
54.206144,486.524540,20.000000
55.603783,486.524540,20.000000
61.370552,486.524540,20.000000
65.247373,486.524540,20.000000
71.503153,486.524540,20.000000
78.496847,486.524540,20.000000
84.752627,486.524540,20.000000
86.370552,486.524540,20.000000
94.396217,486.524540,20.000000
95.793856,486.524540,20.000000
104.994880,486.524540,20.000000
111.370552,486.524540,20.000000
112.662400,486.524540,20.000000
113.475460,486.524540,20.000000
119.052000,486.524540,20.000000
124.376667,486.524540,20.000000
128.813889,486.524540,20.000000
132.511574,486.524540,20.000000
135.592978,486.524540,20.000000
136.370552,486.524540,20.000000
138.160815,486.524540,20.000000
140.300679,486.524540,20.000000
142.083900,486.524540,20.000000
143.569916,486.524540,20.000000
144.808264,486.524540,20.000000
145.840220,486.524540,20.000000
146.700183,486.524540,20.000000
147.416819,486.524540,20.000000
148.014016,486.524540,20.000000
148.511680,486.524540,20.000000
148.926400,486.524540,20.000000
149.272000,486.524540,20.000000
149.560000,486.524540,20.000000
149.800000,486.524540,20.000000
150.000000,486.524540,20.000000
150.200000,486.524540,20.000000
150.440000,486.524540,20.000000
150.728000,486.524540,20.000000
151.073600,486.524540,20.000000
151.488320,486.524540,20.000000
151.985984,486.524540,20.000000
152.583181,486.524540,20.000000
153.299817,486.524540,20.000000
154.159780,486.524540,20.000000
155.191736,486.524540,20.000000
156.430084,486.524540,20.000000
157.916100,486.524540,20.000000
159.699321,486.524540,20.000000
161.370552,486.524540,20.000000
161.839185,486.524540,20.000000
164.407022,486.524540,20.000000
167.488426,486.524540,20.000000
171.186111,486.524540,20.000000
175.623333,486.524540,20.000000
180.948000,486.524540,20.000000
186.370552,486.524540,20.000000
187.337600,486.524540,20.000000
195.005120,486.524540,20.000000
204.206144,486.524540,20.000000
211.370552,486.524540,20.000000
